#  Table F110W_filter.tab  Thu 14:41:52 08-May-2014
#      WAVELENGTH      THROUGHPUT
#           angstroms                
     9227.308       0.3902947
     9228.058       0.3906741
     9228.808       0.3910536
     9229.558       0.3914333
     9230.297       0.3918079
     9231.047        0.392189
     9231.803        0.392573
     9232.547         0.39295
     9233.298       0.3932587
     9234.048       0.3935672
     9234.793       0.3938736
     9235.543       0.3941822
     9236.299       0.3944931
     9237.039       0.3947979
      9237.79       0.3951069
      9238.54       0.3954155
     9239.286       0.3957229
     9240.042       0.3960354
     9240.792       0.3963694
     9241.538       0.3967018
     9242.289       0.3970366
      9243.04       0.3973098
     9243.791       0.3975531
     9244.537       0.3977949
     9245.293         0.39804
     9246.044       0.3982836
     9246.791       0.3985259
     9247.542       0.3987696
     9248.293       0.3990133
      9249.04        0.399256
     9249.791       0.3994997
     9250.543       0.3997259
     9251.289       0.3999436
     9252.041       0.4001629
     9252.793       0.4003468
     9253.545       0.4004613
     9254.296       0.4005758
     9255.048       0.4006904
     9255.795       0.4008043
     9256.547       0.4009189
       9257.3       0.4010337
     9258.047       0.4011475
     9258.799       0.4012623
     9259.556       0.4013777
     9260.304       0.4015019
     9261.056       0.4016422
     9261.809       0.4017825
     9262.551       0.4019198
     9263.309       0.4019582
     9264.056       0.4019962
     9264.809       0.4020345
     9265.562       0.4020726
     9266.314       0.4021108
     9267.063       0.4021488
      9267.82       0.4021872
     9268.573       0.4022255
     9269.316       0.4022633
     9270.069       0.4022991
     9270.822       0.4023119
     9271.576        0.402325
     9272.329       0.4023379
     9273.082         0.40229
     9273.831       0.4022183
     9274.584       0.4021462
     9275.338       0.4020739
     9276.087       0.4020021
      9276.84       0.4019298
     9277.594       0.4018575
     9278.348       0.4017851
     9279.097       0.4017132
     9279.851        0.401641
     9280.609       0.4015886
     9281.358       0.4015421
     9282.112       0.4014951
     9282.867       0.4014209
     9283.616       0.4013108
      9284.37          0.4012
     9285.125       0.4010888
     9285.879       0.4009777
     9286.634       0.4008665
     9287.389       0.4007554
     9288.138       0.4006448
     9288.893       0.4005335
     9289.647       0.4004222
     9290.396       0.4002982
     9291.151       0.4001614
     9291.906       0.4000247
     9292.656       0.3998826
     9293.411       0.3997025
     9294.172       0.3995208
     9294.922       0.3993419
     9295.677       0.3991617
     9296.428       0.3989821
     9297.183       0.3988019
     9297.938       0.3986213
     9298.693       0.3984407
     9299.449       0.3982599
     9300.205       0.3980861
      9300.96       0.3979309
     9301.706       0.3977773
     9302.462       0.3976217
     9303.218       0.3974603
     9303.974        0.397298
     9304.725       0.3971368
     9305.485       0.3969734
     9306.231       0.3968132
     9306.987       0.3966507
