#  Table F814W_filter.tab  Thu 14:45:22 08-May-2014
#     WAVELENGTH      THROUGHPUT
#         angstroms                
     7722.396       0.1817842
     7723.714       0.1815623
     7725.042        0.181339
     7726.361       0.1811173
     7727.684       0.1808951
     7729.003       0.1806738
     7730.323       0.1804578
     7731.652       0.1802568
     7732.972       0.1800588
     7734.296       0.1798612
     7735.617       0.1796644
     7736.942        0.179467
     7738.268       0.1792697
     7739.589       0.1790732
     7740.915       0.1788615
     7742.236        0.178646
     7743.563       0.1784518
     7744.889       0.1782577
     7746.216       0.1780638
     7747.538       0.1778706
     7748.861       0.1776775
     7750.188       0.1774869
     7751.516       0.1773145
     7752.844        0.177154
     7754.167       0.1770041
     7755.496       0.1768537
      7756.82       0.1767038
     7758.149       0.1765536
     7759.478       0.1764034
     7760.803        0.176241
     7762.132       0.1760699
     7763.458       0.1759084
     7764.787       0.1757465
     7766.117       0.1755846
     7767.443       0.1754233
     7768.774       0.1752616
     7770.101       0.1751005
     7771.436       0.1749384
     7772.763       0.1747941
     7774.094       0.1746682
     7775.421       0.1745426
     7776.749       0.1744171
     7778.082       0.1742913
     7779.414       0.1741654
     7780.746       0.1740514
     7782.075       0.1739468
     7783.412       0.1738167
     7784.741       0.1736862
      7786.07       0.1735558
     7787.404        0.173425
     7788.734       0.1732946
     7790.072       0.1731623
     7791.402       0.1730114
     7792.737       0.1728844
     7794.067       0.1727883
     7795.398        0.172692
     7796.738       0.1725952
     7798.069        0.172499
     7799.405       0.1724025
     7800.737       0.1723177
     7802.073       0.1722419
     7803.409       0.1721491
     7804.742       0.1720555
     7806.079       0.1719618
     7807.412       0.1718683
     7808.749       0.1717745
     7810.086       0.1716793
     7811.424       0.1715648
     7812.758       0.1714773
     7814.092       0.1714214
     7815.431       0.1713654
      7816.77       0.1713092
     7818.108        0.171253
     7819.443       0.1711969
     7820.783       0.1711527
     7822.118       0.1711171
     7823.458       0.1710544
     7824.798        0.170991
     7826.134       0.1709279
     7827.475       0.1708644
     7828.812       0.1708011
     7830.152       0.1707377
     7831.494       0.1706753
     7832.835       0.1706114
     7834.173       0.1705464
      7835.51       0.1704814
     7836.853       0.1704162
     7838.195       0.1703509
     7839.538       0.1702856
     7840.876       0.1702205
     7842.224       0.1701553
     7843.562       0.1700993
     7844.902       0.1700434
     7846.246       0.1699871
     7847.585        0.169931
      7848.93       0.1698747
      7850.27       0.1698227
     7851.619       0.1697868
     7852.959       0.1697412
       7854.3       0.1696889
      7855.65       0.1696363
     7856.992       0.1695839
     7858.337       0.1695313
     7859.679       0.1694789
     7861.025       0.1694105
     7862.372       0.1693425
     7863.714       0.1693029
     7865.062       0.1692631
     7866.404       0.1692234
     7867.752       0.1691834
       7869.1       0.1691434
     7870.448       0.1691102
     7871.792       0.1690908
     7873.136       0.1690341
     7874.484       0.1689628
     7875.833       0.1688916
     7877.182       0.1688203
     7878.527       0.1687492
     7879.877       0.1686779
     7881.222       0.1685882
     7882.572        0.168504
     7883.922       0.1684382
     7885.269       0.1683725
     7886.619       0.1683065
     7887.966       0.1682408
     7889.317       0.1681747
     7890.668       0.1681087
     7892.016       0.1680429
     7893.368       0.1679467
     7894.715        0.167847
     7896.072       0.1677467
      7897.42        0.167647
     7898.773        0.167547
     7900.122       0.1674492
     7901.471       0.1673701
     7902.824       0.1672814
     7904.178        0.167183
     7905.532       0.1670846
     7906.882       0.1669864
     7908.241       0.1668876
     7909.586       0.1667899
     7910.941       0.1666773
     7912.296       0.1665611
     7913.647       0.1664717
     7915.007       0.1663816
     7916.354       0.1662924
     7917.715       0.1662023
     7919.067       0.1661128
     7920.419       0.1660297
     7921.776       0.1659603
     7923.128        0.165869
      7924.49       0.1657675
     7925.843       0.1656668
     7927.201       0.1655658
     7928.559       0.1654648
     7929.913        0.165364
     7931.271       0.1652441
     7932.625        0.165129
     7933.984       0.1650256
     7935.343       0.1649221
     7936.702       0.1648188
     7938.057       0.1647158
     7939.413       0.1646127
     7940.773       0.1645094
     7942.133       0.1644063
     7943.493       0.1642824
      7944.85       0.1641582
      7946.21       0.1640336
     7947.567       0.1639094
     7948.929       0.1637849
     7950.291       0.1636647
     7951.648        0.163561
      7953.01       0.1634661
     7954.368       0.1633776
      7955.73       0.1632888
     7957.093          0.1632
     7958.452       0.1631115
     7959.815       0.1630227
     7961.174       0.1629169
     7962.538       0.1628079
     7963.902        0.162699
     7965.266       0.1625901
     7966.626       0.1624815
     7967.986       0.1623731
     7969.352       0.1622643
     7970.716       0.1621557
     7972.082       0.1620471
     7973.443         0.16195
     7974.809       0.1618534
      7976.17       0.1617572
     7977.537       0.1616607
     7978.903       0.1615642
     7980.266       0.1614723
     7981.637       0.1613975
        7983.       0.1613138
     7984.368       0.1612235
     7985.731       0.1611335
     7987.094       0.1610434
     7988.462       0.1609531
     7989.827        0.160863
     7991.199       0.1607581
     7992.564       0.1606517
     7993.933       0.1605445
     7995.302       0.1604374
     7996.663        0.160331
     7998.037       0.1602236
     7999.403       0.1601169
     8000.773       0.1600097
     8002.144       0.1599027
     8003.515       0.1598207
     8004.881         0.15974
     8006.248       0.1596592
     8007.619       0.1595782
     8008.987       0.1594974
     8010.363       0.1594115
      8011.73       0.1593136
     8013.103       0.1592183
     8014.471        0.159125
     8015.844       0.1590314
     8017.217       0.1589377
     8018.586       0.1588443
     8019.959       0.1587505
     8021.329       0.1586585
     8022.703       0.1585615
     8024.077       0.1584561
     8025.447       0.1583509
     8026.822       0.1582455
     8028.193       0.1581405
     8029.568       0.1580351
     8030.943       0.1579453
     8032.319       0.1578651
      8033.69       0.1578125
     8035.062       0.1577599
     8036.438        0.157707
     8037.815       0.1576541
     8039.192       0.1576011
     8040.564       0.1575403
     8041.942       0.1574677
     8043.315       0.1573538
     8044.697        0.157229
     8046.071        0.157105
     8047.445       0.1569809
     8048.823       0.1568566
     8050.198       0.1567326
     8051.581        0.156608
     8052.956       0.1565138
     8054.335       0.1564447
     8055.715       0.1563756
      8057.09       0.1563066
     8058.471       0.1562374
     8059.847       0.1561683
     8061.227       0.1561165
     8062.604        0.156052
     8063.989        0.155949
     8065.366       0.1558467
     8066.743       0.1557444
     8068.125       0.1556417
     8069.507        0.155539
     8070.889       0.1554237
     8072.267       0.1553021
      8073.65       0.1551869
     8075.029       0.1550721
     8076.412        0.154957
     8077.795       0.1548418
     8079.174       0.1547271
     8080.559       0.1546119
     8081.938       0.1544973
     8083.323       0.1543741
     8084.707        0.154249
     8086.088       0.1541242
     8087.473       0.1539991
     8088.854       0.1538745
     8090.239       0.1537527
     8091.625       0.1536471
     8093.011       0.1535271
     8094.393       0.1533966
     8095.775       0.1532661
     8097.162       0.1531353
     8098.549       0.1530044
     8099.936       0.1528736
     8101.319       0.1527248
     8102.707       0.1525749
      8104.09       0.1524261
     8105.479       0.1522768
     8106.867       0.1521275
     8108.251       0.1519788
      8109.64       0.1518297
     8111.025       0.1516811
     8112.419       0.1515292
     8113.804       0.1513631
     8115.189       0.1511972
      8116.58       0.1510307
     8117.965       0.1508649
      8119.36       0.1506981
     8120.747       0.1505428
     8122.138       0.1503958
     8123.524       0.1502336
     8124.912       0.1500702
     8126.308       0.1499058
     8127.695       0.1497426
